id	prodotto	descrizione	categoria
124881734	metalplus cassetta portavalori secur 25x18x9cm grigio unità vendita 1 pz. 	2153 3a struttura in metallo. serratura a cilindro. inclusa vaschetta in plastica con 5 scomparti 4 portamonete 1 portabanconote completamente estraibile.	_@cassaforte_
124881737	metalplus cassetta portavalori europa 30x24x9cm blu unità vendita 1 pz. 	2553 4a struttura in metallo con portamonete. serratura a cilindro. complete di due chiavi.3 scomparti per le banconote.	_@cassaforte_
128435065	3d home design homedesign 006505 hdm 520 cassetta delle lettere colore antracite	homedesign 006505 hdm 520 cassetta delle lettere colore antracite	_@cassaforte_
128874092	rottner 2353 traun 3 cassetta portavalori con portamonete cassetta di sicureza blu	realizzata in acciaio di alta qualità maniglia in alto per portare la cassetta serratura a cilindro con chiave 2 chiavi scomparto per le banconote 3 scomparti dimensioni h 90 x l 250 x l 185 mm	_@cassaforte_
129016437	rottner tresor cassaforte t03140	cassaforte a mobile saturn le 30 cassetta di sicurezza con chiave colore antracite per casa ufficio albergo realizzata in acciaio di alta qualita spessore corpo 3 mm anta 4 mm spessore 1 ripiano fori sul muro della cassaforte materiale di fissaggio in	_@cassaforte_
129112193	metalplus cassetta portavalori secur 20x16x9cm grigio unità vendita 1 pz. 	struttura in metallo. serratura a cilindro. completo di due chiavi. completo di due chiavi. inclusa vaschetta in plastica con 5 scomparti 4 portamonete 1 portabanconote completamente estraibile.	_@cassaforte_
129112194	metalplus cassetta portavalori secur 25x18x9cm grigio unità vendita 1 pz. 	struttura in metallo. serratura a cilindro. inclusa vaschetta in plastica con 5 scomparti 4 portamonete 1 portabanconote completamente estraibile.	_@cassaforte_
129112196	metalplus cassetta portavalori secur 37x28x9cm grigio unità vendita 1 pz. 	struttura in metallo. serratura a cilindro. completo di due chiavi. inclusa vaschetta in plastica con 8 scomparti 4 portamonete 4 portabanconote completamente estraibile.	_@cassaforte_
130292447	technomax gmt 5	combinazione elettronica porta 10 mm corpo 5 mm	_@cassaforte_
130292448	technomax dmt 4	combinazione elettronica porta 10 mm corpo 5 mm	_@cassaforte_
130292449	technomax dmt 5	combinazione elettronica porta 10 mm corpo 5 mm	_@cassaforte_
130292496	technomax 2040 d	cassetta ignifuga honeywell per supporti magnetici trasportabile	_@cassaforte_
130682352	pavo manager di denaro helix 305x230x90 mm antracite cm7020	robusta cassetta d acciaio porta denaro dotata di vassoio per la moneta a 8 scomparti rimovibile e 3 corridoi preformati per monete robusta maniglia a scomparsa sistema di chiusura ad incastro dotato di 2 chiavi di sicurezza.	_@cassaforte_
131113107	metalplus cassetta portavalori secur 20x16x9cm grigio unità vendita 1 pz. 	struttura in metallo. serratura a cilindro. completo di due chiavi. completo di due chiavi. inclusa vaschetta in plastica con 5 scomparti 4 portamonete 1 portabanconote completamente estraibile.	_@cassaforte_
131113108	metalplus cassetta portavalori secur 25x18x9cm grigio unità vendita 1 pz. 	struttura in metallo. serratura a cilindro. inclusa vaschetta in plastica con 5 scomparti 4 portamonete 1 portabanconote completamente estraibile.	_@cassaforte_
131113111	metalplus cassetta portavalori europa 30x24x9cm blu unità vendita 1 pz. 	struttura in metallo con portamonete. serratura a cilindro. complete di due chiavi.3 scomparti per le banconote.	_@cassaforte_
134054811	technomax 120 tde	armadio blindato ignifugo con combinazione elettronica per supporti magnetici resistenza al fuoco 120 minuti	_@cassaforte_
134054872	bordogna 3100 tc	armadio blindato monoblocco a un anta chiave a doppia mappa combinazione meccanica spessore struttura 3 mm	_@cassaforte_
134054946	stark 3207mc	mobile blindato con chiave a doppia mappa porta 10 mm corpo 3 mm	_@cassaforte_
134054948	stark 309mc	mobile blindato con chiave a doppia mappa porta 10 mm corpo 10 mm	_@cassaforte_
134054958	stark 3267mc	mobile blindato con chiave a doppia mappa e combinazione a dischi porta 10 mm corpo 3 mm	_@cassaforte_
134054959	stark 368mc	mobile blindato con chiave a doppia mappa e combinazione a dischi porta 10 mm corpo 10 mm	_@cassaforte_
134054960	stark 369mc	mobile blindato con chiave a doppia mappa e combinazione a dischi porta 10 mm corpo 10 mm	_@cassaforte_
134054966	stark 3207mcw	mobile blindato con chiave a doppia mappa porta 10 mm corpo 3 mm finitura wengè	_@cassaforte_
134054968	stark 3257mc	mobile blindato con combinazione elettronica motorizzata porta 10 mm corpo 3 mm	_@cassaforte_
