web-scraper-order,web-scraper-start-url,categories,categories-href,show_all,show_all-href,title,pagination,pagination-href
"1547145250-1301","https://www.trovaprezzi.it/categorie.aspx","Televisori LCD, LED e Plasma","https://www.trovaprezzi.it/prezzi_televisori-lcd-plasma.aspx","Vedi tutte le offerte in Televisori LCD, LED e Plasma","https://www.trovaprezzi.it/prezzi_televisori-lcd-plasma_1.aspx","","2","https://www.trovaprezzi.it/prezzi_televisori-lcd-plasma_2.aspx"
"1547145319-1732","https://www.trovaprezzi.it/categorie.aspx","Lavatrici e Asciugatrici","https://www.trovaprezzi.it/prezzi_lavatrici-asciugatrici.aspx","Vedi tutte le offerte in Lavatrici e Asciugatrici","https://www.trovaprezzi.it/prezzi_lavatrici-asciugatrici_1.aspx","Beper Asciugabiancheria Dorotea Beper RI.701 Asciuga panni e vestiti","",""
"1547145286-1488","https://www.trovaprezzi.it/categorie.aspx","Articoli per la Cucina","https://www.trovaprezzi.it/prezzi_articoli-per-la-cucina.aspx","Vedi tutte le offerte in Articoli per la Cucina","https://www.trovaprezzi.it/prezzi_articoli-per-la-cucina_1.aspx","FRASCHETTI Accendigas Usa e Getta Basic","",""
"1547145123-598","https://www.trovaprezzi.it/categorie.aspx","Grappe, Liquori, Aperitivi","https://www.trovaprezzi.it/prezzi_grappe-liquori-aperitivi.aspx","Vedi tutte le offerte in Grappe, Liquori, Aperitivi","https://www.trovaprezzi.it/prezzi_grappe-liquori-aperitivi_1.aspx","","19","https://www.trovaprezzi.it/prezzi_grappe-liquori-aperitivi_19.aspx"
"1547145190-921","https://www.trovaprezzi.it/categorie.aspx","Seggiolini auto","https://www.trovaprezzi.it/prezzi_seggiolini-auto.aspx","Vedi tutte le offerte in Seggiolini auto","https://www.trovaprezzi.it/prezzi_seggiolini-auto_1.aspx","Eurasia Seggiolino Auto Soy Luna Alza Bimbo Omologato 15-36 KG","",""
"1547145323-1792","https://www.trovaprezzi.it/categorie.aspx","Frigoriferi e Congelatori","https://www.trovaprezzi.it/prezzi_frigoriferi-congelatori.aspx","Vedi tutte le offerte in Frigoriferi e Congelatori","https://www.trovaprezzi.it/prezzi_frigoriferi-congelatori_1.aspx","","13","https://www.trovaprezzi.it/prezzi_frigoriferi-congelatori_13.aspx"
"1547145242-1240","https://www.trovaprezzi.it/categorie.aspx","Home Theater","https://www.trovaprezzi.it/prezzi_home-theater.aspx","Vedi tutte le offerte in Home Theater","https://www.trovaprezzi.it/prezzi_home-theater_1.aspx","","Successive","https://www.trovaprezzi.it/prezzi_home-theater_21.aspx"
"1547145236-1167","https://www.trovaprezzi.it/categorie.aspx","Integratori e Coadiuvanti","https://www.trovaprezzi.it/prezzi_integratori-coadiuvanti.aspx","Vedi tutte le offerte in Integratori e Coadiuvanti","https://www.trovaprezzi.it/prezzi_integratori-coadiuvanti_1.aspx","ARKOFARM Srl ARKOROYAL Lecca-Lecca Ape Maia","",""
"1547145211-1028","https://www.trovaprezzi.it/categorie.aspx","Pneumatici per Auto","https://www.trovaprezzi.it/prezzi_pneumatici.aspx","Vedi tutte le offerte in Pneumatici per Auto","https://www.trovaprezzi.it/prezzi_pneumatici_1.aspx","","9","https://www.trovaprezzi.it/prezzi_pneumatici_9.aspx"
"1547145075-415","https://www.trovaprezzi.it/categorie.aspx","Strumenti Musicali","https://www.trovaprezzi.it/prezzi_strumenti-musicali.aspx","Vedi tutte le offerte in Strumenti Musicali","https://www.trovaprezzi.it/prezzi_strumenti-musicali_1.aspx","GEWA AZOO IN PLASTICA","",""
"1547145302-1601","https://www.trovaprezzi.it/categorie.aspx","Tablet","https://www.trovaprezzi.it/prezzi_tablet.aspx","Vedi tutte le offerte in Tablet","https://www.trovaprezzi.it/prezzi_tablet_1.aspx","i-INN i-INN i-INN TABLET KIRK3 A I-INN","",""
"1547145298-1583","https://www.trovaprezzi.it/categorie.aspx","Stampanti","https://www.trovaprezzi.it/prezzi_stampanti.aspx","Vedi tutte le offerte in Stampanti","https://www.trovaprezzi.it/prezzi_stampanti_1.aspx","","4","https://www.trovaprezzi.it/prezzi_stampanti_4.aspx"
"1547145302-1637","https://www.trovaprezzi.it/categorie.aspx","Tablet","https://www.trovaprezzi.it/prezzi_tablet.aspx","Vedi tutte le offerte in Tablet","https://www.trovaprezzi.it/prezzi_tablet_1.aspx","","18","https://www.trovaprezzi.it/prezzi_tablet_18.aspx"
"1547145277-1453","https://www.trovaprezzi.it/categorie.aspx","Cellulari","https://www.trovaprezzi.it/prezzi_cellulari.aspx","Vedi tutte le offerte in Cellulari","https://www.trovaprezzi.it/prezzi_cellulari_1.aspx","BULLTEK Power Bank Bulltek Y1I 2600MAH Silv","",""
"1547145286-1505","https://www.trovaprezzi.it/categorie.aspx","Articoli per la Cucina","https://www.trovaprezzi.it/prezzi_articoli-per-la-cucina.aspx","Vedi tutte le offerte in Articoli per la Cucina","https://www.trovaprezzi.it/prezzi_articoli-per-la-cucina_1.aspx","","6","https://www.trovaprezzi.it/prezzi_articoli-per-la-cucina_6.aspx"
"1547145232-1143","https://www.trovaprezzi.it/categorie.aspx","Profumi e Deodoranti","https://www.trovaprezzi.it/prezzi_profumi-deodoranti.aspx","Vedi tutte le offerte in Profumi e Deodoranti","https://www.trovaprezzi.it/prezzi_profumi-deodoranti_1.aspx","","4","https://www.trovaprezzi.it/prezzi_profumi-deodoranti_4.aspx"
"1547145232-1140","https://www.trovaprezzi.it/categorie.aspx","Profumi e Deodoranti","https://www.trovaprezzi.it/prezzi_profumi-deodoranti.aspx","Vedi tutte le offerte in Profumi e Deodoranti","https://www.trovaprezzi.it/prezzi_profumi-deodoranti_1.aspx","DOVE DEO MEN ROLL COOL F. 50ML","",""
"1547145179-912","https://www.trovaprezzi.it/categorie.aspx","Giocattoli","https://www.trovaprezzi.it/prezzi_giocattoli.aspx","Vedi tutte le offerte in Giocattoli","https://www.trovaprezzi.it/prezzi_giocattoli_1.aspx","","13","https://www.trovaprezzi.it/prezzi_giocattoli_13.aspx"
"1547145232-1129","https://www.trovaprezzi.it/categorie.aspx","Profumi e Deodoranti","https://www.trovaprezzi.it/prezzi_profumi-deodoranti.aspx","Vedi tutte le offerte in Profumi e Deodoranti","https://www.trovaprezzi.it/prezzi_profumi-deodoranti_1.aspx","Felce Azzurra Talco Classico Busta 100 Gr NANDIDA.com","",""
"1547145123-590","https://www.trovaprezzi.it/categorie.aspx","Grappe, Liquori, Aperitivi","https://www.trovaprezzi.it/prezzi_grappe-liquori-aperitivi.aspx","Vedi tutte le offerte in Grappe, Liquori, Aperitivi","https://www.trovaprezzi.it/prezzi_grappe-liquori-aperitivi_1.aspx","","11","https://www.trovaprezzi.it/prezzi_grappe-liquori-aperitivi_11.aspx"
"1547145123-565","https://www.trovaprezzi.it/categorie.aspx","Grappe, Liquori, Aperitivi","https://www.trovaprezzi.it/prezzi_grappe-liquori-aperitivi.aspx","Vedi tutte le offerte in Grappe, Liquori, Aperitivi","https://www.trovaprezzi.it/prezzi_grappe-liquori-aperitivi_1.aspx","Fever-Tree Mediterranean Tonic Water 20cl","",""
"1547145277-1468","https://www.trovaprezzi.it/categorie.aspx","Cellulari","https://www.trovaprezzi.it/prezzi_cellulari.aspx","Vedi tutte le offerte in Cellulari","https://www.trovaprezzi.it/prezzi_cellulari_1.aspx","","9","https://www.trovaprezzi.it/prezzi_cellulari_9.aspx"
"1547145175-847","https://www.trovaprezzi.it/categorie.aspx","Console Giochi","https://www.trovaprezzi.it/prezzi_console.aspx","Vedi tutte le offerte in Console Giochi","https://www.trovaprezzi.it/prezzi_console_1.aspx","MY ARCADE GAMING Console My Arcade Gaming Retro Game V Portable","",""
"1547145096-502","https://www.trovaprezzi.it/categorie.aspx","Anelli","https://www.trovaprezzi.it/prezzi_anelli.aspx","Vedi tutte le offerte in Anelli","https://www.trovaprezzi.it/prezzi_anelli_1.aspx","","3","https://www.trovaprezzi.it/prezzi_anelli_3.aspx"
