web-scraper-order,web-scraper-start-url,title
"1547143908-320","https://www.trovaprezzi.it/prezzi_cellulari_5.aspx","Alcatel ot 10-54d grey"
"1547143883-93","https://www.trovaprezzi.it/prezzi_cellulari_16.aspx","Nokia 130 2017 telefono cellulare dual sim display 1,8 pollici colore grigio"
"1547143912-352","https://www.trovaprezzi.it/prezzi_cellulari_3.aspx","TUCANO Marsupio Spertivo Smartphone BLU"
"1547143905-288","https://www.trovaprezzi.it/prezzi_cellulari_6.aspx","BULLTEK Power Bank Bulltek Y3R 8400MH White"
"1547143890-153","https://www.trovaprezzi.it/prezzi_cellulari_13.aspx","Wiko Telefono cellulare Wiko riff3 black 2.4in"
"1547143912-341","https://www.trovaprezzi.it/prezzi_cellulari_3.aspx","INLINE Ottica Smartphone 55492 Lente 2.80X"
"1547143908-307","https://www.trovaprezzi.it/prezzi_cellulari_5.aspx","Alcatel 10.54D DUAL SIM 1.8 BLUETOOTH TORCIA MP3 ITALIA GREYGREY 1054D-3AALIT1"
"1547143896-214","https://www.trovaprezzi.it/prezzi_cellulari_10.aspx","Nokia 105 telefono cellulare dual sim display 1,8 pollici colore nero"
"1547143914-378","https://www.trovaprezzi.it/prezzi_cellulari_2.aspx","TREVI Custodia UNIV. PER Smartphone Trevi"
"1547143912-349","https://www.trovaprezzi.it/prezzi_cellulari_3.aspx","LG CELLULARE LG C195 QB 2MP WIFI BTH MP3/MOBILTELEFON LG C195"
"1547143912-355","https://www.trovaprezzi.it/prezzi_cellulari_3.aspx","TUCANO Marsupio Spertivo Smartphone Rosso"
"1547143894-188","https://www.trovaprezzi.it/prezzi_cellulari_11.aspx","Nokia Telefono cellulare 105 Dual Sim Blue"
"1547143912-353","https://www.trovaprezzi.it/prezzi_cellulari_3.aspx","TUCANO Fascia DA Braccio X Smartphone Ross"
"1547143890-148","https://www.trovaprezzi.it/prezzi_cellulari_13.aspx","BRONDI WNDOW NERO"
"1547143914-364","https://www.trovaprezzi.it/prezzi_cellulari_2.aspx","INLINE Supporto Parabrezz 23155E Universal"
"1547143898-229","https://www.trovaprezzi.it/prezzi_cellulari_9.aspx","BRONDI OYSTER S"
"1547143877-22","https://www.trovaprezzi.it/prezzi_cellulari_19.aspx","Mediacom Facile Rosso - EasyPhone"
"1547143875-15","https://www.trovaprezzi.it/prezzi_cellulari_20.aspx","BRONDI Amico Semplice + NERO"
"1547143916-400","https://www.trovaprezzi.it/prezzi_cellulari_1.aspx","TREVI Asta Selfie Telescopico"
"1547143881-74","https://www.trovaprezzi.it/prezzi_cellulari_17.aspx","Saiet Telefono cellulare Saiet like st-mc 10"
"1547143905-296","https://www.trovaprezzi.it/prezzi_cellulari_6.aspx","BULLTEK Power Bank Bulltek Y4J 10400M Gold"
"1547143894-183","https://www.trovaprezzi.it/prezzi_cellulari_11.aspx","NOKIA 105 BLUE"
"1547143888-124","https://www.trovaprezzi.it/prezzi_cellulari_14.aspx","OK Omp 90 Black"
"1547143900-253","https://www.trovaprezzi.it/prezzi_cellulari_8.aspx","Ngm Mobile NGM B2 cellulare, dual Sim, 2.4'', bluetooth, nero"
"1547143914-363","https://www.trovaprezzi.it/prezzi_cellulari_2.aspx","TUCANO Custodia Impermeabile X Smartphone"
"1547143890-149","https://www.trovaprezzi.it/prezzi_cellulari_13.aspx","BRONDI ROSE BLADE"
"1547143881-73","https://www.trovaprezzi.it/prezzi_cellulari_17.aspx","NOKIA 130 (2017) Dual SIM"
"1547143886-118","https://www.trovaprezzi.it/prezzi_cellulari_15.aspx","Kooper 2410863 Telefono Cellulare, Nero"
"1547143903-278","https://www.trovaprezzi.it/prezzi_cellulari_7.aspx","BRONDI EROS"
"1547143910-326","https://www.trovaprezzi.it/prezzi_cellulari_4.aspx","CELLY Supporto Parabrezz Celly Ghostplus"
"1547143912-354","https://www.trovaprezzi.it/prezzi_cellulari_3.aspx","TUCANO CUST. UNIV. X Smartphone L Rosso"
"1547143912-350","https://www.trovaprezzi.it/prezzi_cellulari_3.aspx","Generic CELLULARE EASY PHONE nordmende ND9 9K"
"1547143883-82","https://www.trovaprezzi.it/prezzi_cellulari_16.aspx","Huawei SMARTPHONE HUAWEI Y330"
"1547143875-19","https://www.trovaprezzi.it/prezzi_cellulari_20.aspx","NOKIA 216 Dual SIM"
"1547143883-81","https://www.trovaprezzi.it/prezzi_cellulari_16.aspx","LG CELLULARE LG KP500 COOKIE/HANDY KP500 COOKIE"
"1547143916-383","https://www.trovaprezzi.it/prezzi_cellulari_1.aspx","TECHMADE PELLICOLA PROTETTIVA PER C502 6,3 LUCIDA"
"1547143912-346","https://www.trovaprezzi.it/prezzi_cellulari_3.aspx","ngm CELLULARE NGM BLADE CON 4 COVER INCLUSE"
"1547143875-10","https://www.trovaprezzi.it/prezzi_cellulari_20.aspx","NGM C2 Silver"
"1547143900-247","https://www.trovaprezzi.it/prezzi_cellulari_8.aspx","OEM Auricolare Bluetooth (IOS) (ADROID)"
"1547143888-131","https://www.trovaprezzi.it/prezzi_cellulari_14.aspx","BRONDI OYSTER S ROSSO"
"1547143910-334","https://www.trovaprezzi.it/prezzi_cellulari_4.aspx","Brondi DUKE S 2.4'' Nero Caratteristica del telefono"
